file_start,time,channel,SNR,og_cluster,cluster,status
2020-07-07T14:59:38.931000Z,9.0,1000,,1.0,1.0,Matched
2020-07-08T08:38:08.931000Z,3.0,1000,,0.0,0.0,Matched
2020-07-09T08:34:21.779000Z,6.0,0,,0.0,0.0,Matched
2020-07-15T07:04:20.719000Z,24.0,1000,,0.0,0.0,Matched
2020-07-15T07:08:50.719000Z,6.0,1000,,0.0,0.0,Matched
2020-07-15T07:11:20.719000Z,9.0,1000,,0.0,0.0,Matched
2020-07-15T07:11:50.719000Z,12.0,1000,,0.0,0.0,Matched
2020-07-15T07:32:50.719000Z,24.0,1000,,0.0,0.0,Matched
2020-07-15T07:33:50.719000Z,27.0,1000,,0.0,0.0,Matched
2020-07-15T14:05:20.719000Z,6.0,500,,0.0,0.0,Matched
2020-07-15T14:14:20.719000Z,27.0,500,,0.0,0.0,Matched
2020-07-15T14:15:50.719000Z,27.0,1000,,0.0,0.0,Matched
2020-07-15T15:16:20.719000Z,18.0,1000,,0.0,0.0,Matched
2020-07-15T15:35:20.719000Z,6.0,1000,,0.0,0.0,Matched
2020-08-03T07:02:50.542000Z,15.0,500,,0.0,0.0,Matched
2020-08-03T08:01:20.542000Z,3.0,500,,0.0,0.0,Matched
2020-07-06T07:22:15.067000Z,27.0,0,,0.0,0.0,Matched
2020-07-06T07:43:32.860000Z,9.0,0,,0.0,1.0,Matched
2020-07-06T08:21:32.860000Z,21.0,0,,0.0,1.0,Matched
2020-07-07T07:18:38.931000Z,21.0,1000,,1.0,1.0,Matched
2020-07-07T08:28:38.931000Z,0.0,1000,,3.0,0.0,Matched
2020-07-07T14:05:08.931000Z,0.0,1000,,0.0,0.0,Matched
2020-07-07T14:29:08.931000Z,27.0,1000,,2.0,1.0,Matched
2020-07-08T08:39:08.931000Z,6.0,1000,,1.0,1.0,Matched
2020-07-08T14:51:51.779000Z,12.0,1000,,1.0,1.0,Matched
2020-07-08T15:05:21.779000Z,24.0,1000,,1.0,1.0,Matched
2020-07-09T07:01:51.779000Z,21.0,1000,,2.0,1.0,Matched
2020-07-09T07:11:21.779000Z,21.0,1000,,1.0,1.0,Matched
2020-07-09T07:34:51.779000Z,27.0,0,,1.0,1.0,Matched
2020-07-09T07:35:21.779000Z,0.0,0,,1.0,1.0,Matched
2020-07-09T07:48:21.779000Z,12.0,1000,,1.0,1.0,Matched
2020-07-15T07:03:20.719000Z,6.0,1000,,1.0,1.0,Matched
2020-07-15T07:04:50.719000Z,3.0,1000,,1.0,1.0,Matched
2020-07-15T07:05:20.719000Z,18.0,1000,,1.0,1.0,Matched
2020-07-15T07:05:50.719000Z,15.0,1000,,1.0,1.0,Matched
2020-07-15T07:06:20.719000Z,9.0,1000,,1.0,1.0,Matched
2020-07-15T07:08:50.719000Z,27.0,1000,,1.0,1.0,Matched
2020-07-15T07:09:20.719000Z,0.0,1000,,1.0,1.0,Matched
2020-07-15T07:12:50.719000Z,21.0,1000,,1.0,1.0,Matched
2020-07-15T07:12:50.719000Z,27.0,1000,,1.0,1.0,Matched
2020-07-15T07:20:20.719000Z,24.0,1000,,1.0,1.0,Matched
2020-07-15T07:35:20.719000Z,6.0,1000,,1.0,1.0,Matched
2020-07-15T14:07:20.719000Z,18.0,0,,2.0,1.0,Matched
2020-07-06T08:42:32.860000Z,18.0,1000,,1.0,1.0,Matched
2020-07-06T08:49:02.860000Z,12.0,0,,0.0,0.0,Matched
2020-07-07T07:07:38.931000Z,18.0,0,,1.0,1.0,Matched
2020-07-07T07:42:38.931000Z,0.0,0,,1.0,1.0,Matched
2020-07-07T07:42:38.931000Z,18.0,0,,1.0,1.0,Matched
2020-07-07T07:43:08.931000Z,18.0,500,,1.0,1.0,Matched
2020-07-07T14:05:08.931000Z,3.0,1000,,2.0,1.0,Matched
2020-07-07T14:05:08.931000Z,6.0,1000,,2.0,1.0,Matched
2020-07-08T07:02:38.931000Z,15.0,0,,0.0,0.0,Matched
2020-07-08T07:25:08.931000Z,27.0,1000,,0.0,0.0,Matched
2020-07-08T07:43:08.931000Z,24.0,0,,1.0,1.0,Matched
2020-07-08T07:43:38.931000Z,15.0,500,,0.0,0.0,Matched
2020-07-09T08:32:51.779000Z,24.0,1000,,1.0,1.0,Matched
2020-07-09T08:57:51.779000Z,3.0,0,,1.0,1.0,Matched
2020-07-07T07:03:08.931000Z,15.0,500,,1.0,1.0,Matched
2020-07-07T07:07:38.931000Z,27.0,500,,0.0,0.0,Matched
2020-07-07T14:37:38.931000Z,27.0,0,,2.0,1.0,Matched
2020-07-08T07:00:08.931000Z,0.0,0,,2.0,1.0,Matched
2020-07-08T14:01:51.779000Z,9.0,500,,0.0,0.0,Matched
2020-07-09T08:14:51.779000Z,12.0,500,,1.0,1.0,Matched
2020-07-09T08:44:21.779000Z,21.0,500,,0.0,0.0,Matched
