file_start,time,channel,SNR
2020-07-08T07:00:08.931000Z,3.0,0,3.8836615411495576
2020-07-08T07:00:08.931000Z,3.0,500,3.46723555138274
2020-07-08T07:00:08.931000Z,6.0,0,5.074219954686589
2020-07-08T07:00:08.931000Z,6.0,500,4.578439354757442
2020-07-08T07:00:08.931000Z,9.0,1000,3.6259120673646033
2020-07-08T07:00:08.931000Z,15.0,0,4.135042586089434
2020-07-08T07:00:08.931000Z,15.0,500,4.38834421543539
2020-07-08T07:00:08.931000Z,18.0,500,3.6001932347126178
2020-07-08T07:00:08.931000Z,21.0,1000,4.48195645141653
2020-07-08T07:00:08.931000Z,27.0,1000,4.3658162194086865
2020-07-08T07:00:38.931000Z,0.0,1000,4.662133982892503
2020-07-08T07:00:38.931000Z,6.0,1000,4.689497552500212
2020-07-08T07:00:38.931000Z,9.0,0,3.7303368836438664
2020-07-08T07:00:38.931000Z,18.0,1000,4.0768743592735115
2020-07-08T07:00:38.931000Z,24.0,1000,3.4198578223753513
2020-07-08T07:00:38.931000Z,27.0,1000,4.118286741289551
2020-07-08T07:01:08.931000Z,0.0,500,4.847293691672517
2020-07-08T07:01:08.931000Z,9.0,1000,4.51982612667273
2020-07-08T07:01:08.931000Z,18.0,500,4.812600618054599
2020-07-08T07:01:08.931000Z,21.0,500,3.7383919244062365
2020-07-08T07:01:08.931000Z,21.0,1000,3.4141619748050136
2020-07-08T07:01:08.931000Z,27.0,500,4.134958726725262
2020-07-08T07:01:38.931000Z,0.0,500,4.037270997171219
2020-07-08T07:01:38.931000Z,3.0,0,4.188435297651435
2020-07-08T07:01:38.931000Z,6.0,1000,3.5758992911574023
2020-07-08T07:01:38.931000Z,9.0,500,4.382909695870909
2020-07-08T07:01:38.931000Z,9.0,1000,3.7714935629502477
2020-07-08T07:01:38.931000Z,12.0,500,4.580037301128042
2020-07-08T07:01:38.931000Z,15.0,1000,3.9180370275532033
2020-07-08T07:01:38.931000Z,18.0,500,3.5638061132964887
2020-07-08T07:01:38.931000Z,21.0,1000,4.242905971264792
2020-07-08T07:01:38.931000Z,24.0,0,4.526981237591566
2020-07-08T07:01:38.931000Z,27.0,1000,3.6038139636817927
2020-07-08T07:02:08.931000Z,0.0,1000,3.675635926818266
2020-07-08T07:02:08.931000Z,3.0,1000,3.557716057998904
