file_start,time,channel,SNR
2020-07-08T07:00:08.931000Z,6.0,500,4.578439354757442
2020-07-08T07:00:08.931000Z,21.0,1000,4.48195645141653
2020-07-08T07:00:38.931000Z,0.0,1000,4.119920721864506
2020-07-08T07:01:08.931000Z,0.0,500,4.847293691672517
2020-07-08T07:01:08.931000Z,18.0,500,4.681051385178048
2020-07-08T07:02:08.931000Z,12.0,0,4.473768921668447
2020-07-08T07:02:38.931000Z,0.0,1000,5.0594824687086755
2020-07-08T07:02:38.931000Z,6.0,1000,4.800133721448438
2020-07-08T07:03:08.931000Z,15.0,1000,4.6107351848363125
2020-07-08T07:03:08.931000Z,24.0,500,4.273944021966714
2020-07-08T07:03:08.931000Z,24.0,1000,4.499034013621696
2020-07-08T07:04:38.931000Z,6.0,500,4.404922670336161
2020-07-08T07:04:38.931000Z,15.0,1000,4.394780456469343
2020-07-08T07:04:38.931000Z,21.0,500,5.221851519853206
2020-07-08T07:05:38.931000Z,3.0,0,4.07398438370581
2020-07-08T07:05:38.931000Z,12.0,1000,4.237328354758557
2020-07-08T07:06:08.931000Z,6.0,1000,4.35979339465654
2020-07-08T07:06:08.931000Z,21.0,1000,4.7676839537037665
2020-07-08T07:06:08.931000Z,27.0,1000,4.2748450194907415
2020-07-08T07:06:38.931000Z,0.0,1000,4.230064386291486
2020-07-08T07:06:38.931000Z,6.0,0,4.527490226694783
2020-07-08T07:06:38.931000Z,24.0,1000,4.786210359290209
2020-07-08T07:07:38.931000Z,21.0,1000,4.275036903355225
2020-07-08T07:08:08.931000Z,15.0,0,4.374942657158256
2020-07-08T07:08:08.931000Z,18.0,1000,5.532735368956856
2020-07-08T07:08:38.931000Z,27.0,1000,4.0501499154088
2020-07-08T07:09:08.931000Z,0.0,1000,4.017804796925095
2020-07-08T07:09:08.931000Z,24.0,1000,4.81242673985278
2020-07-08T07:09:38.931000Z,21.0,0,4.308469763157421
2020-07-08T07:10:08.931000Z,3.0,500,4.162226284368462
2020-07-08T07:11:08.931000Z,9.0,1000,4.041360703807235
2020-07-08T07:11:38.931000Z,21.0,500,4.169994459795582
2020-07-08T07:12:08.931000Z,0.0,1000,4.625290042555927
2020-07-08T07:12:38.931000Z,18.0,0,4.016616195449797
2020-07-08T07:12:38.931000Z,24.0,1000,5.048011667339204
2020-07-08T07:13:08.931000Z,3.0,1000,4.447437014493413
2020-07-08T07:13:08.931000Z,6.0,500,4.501460046093911
2020-07-08T07:13:38.931000Z,24.0,1000,4.528977255349565
2020-07-08T07:13:38.931000Z,27.0,1000,4.043458572012227
2020-07-08T07:14:08.931000Z,0.0,1000,4.013795271882354
2020-07-08T07:14:08.931000Z,3.0,0,4.245937033372915
2020-07-08T07:14:08.931000Z,6.0,0,4.891066297632887
2020-07-08T07:14:38.931000Z,3.0,500,4.364043349570097
2020-07-08T07:15:08.931000Z,15.0,0,5.0355564612195565
2020-07-08T07:16:38.931000Z,6.0,1000,4.360806673370816
2020-07-08T07:17:08.931000Z,3.0,0,4.435451458012193
2020-07-08T07:17:38.931000Z,0.0,1000,4.974685643193181
2020-07-08T07:18:08.931000Z,27.0,1000,4.2679712143723565
2020-07-08T07:18:38.931000Z,0.0,1000,4.216922280412314
2020-07-08T07:19:08.931000Z,6.0,1000,4.224075027427195
2020-07-08T07:19:08.931000Z,21.0,500,5.10466725688263
2020-07-08T07:19:08.931000Z,24.0,0,4.319353946762917
2020-07-08T07:19:38.931000Z,6.0,500,4.763904408569585
2020-07-08T07:19:38.931000Z,9.0,1000,4.664797097898426
2020-07-08T07:19:38.931000Z,12.0,0,4.230462289264643
2020-07-08T07:20:08.931000Z,18.0,1000,4.301668806509206
2020-07-08T07:20:38.931000Z,12.0,1000,4.4688975472387105
2020-07-08T07:21:08.931000Z,18.0,1000,4.754979471921838
2020-07-08T07:21:38.931000Z,21.0,0,5.173721265404853
2020-07-08T07:22:08.931000Z,12.0,500,4.299623303948005
2020-07-08T07:22:08.931000Z,18.0,0,4.637410135447942
2020-07-08T07:22:08.931000Z,18.0,1000,4.446721791720064
2020-07-08T07:23:08.931000Z,3.0,1000,4.1846627359469615
2020-07-08T07:23:08.931000Z,27.0,1000,4.0866657901818435
2020-07-08T07:23:38.931000Z,0.0,1000,4.110777666828272
2020-07-08T07:23:38.931000Z,15.0,1000,4.780851661921624
2020-07-08T07:23:38.931000Z,18.0,1000,4.443052227752243
2020-07-08T07:24:38.931000Z,6.0,1000,4.491279788388593
2020-07-08T07:24:38.931000Z,21.0,500,5.389408363580563
2020-07-08T07:25:38.931000Z,12.0,500,5.010738213065065
2020-07-08T07:25:38.931000Z,12.0,1000,4.542031023856894
2020-07-08T07:26:08.931000Z,12.0,500,4.9570320250198225
2020-07-08T07:26:08.931000Z,21.0,1000,4.8088025033857456
2020-07-08T07:26:38.931000Z,6.0,0,4.336731963547379
2020-07-08T07:26:38.931000Z,18.0,1000,4.200995793684449
2020-07-08T07:27:08.931000Z,9.0,500,4.46630442633425
2020-07-08T07:27:38.931000Z,6.0,500,4.576442098376831
2020-07-08T07:28:08.931000Z,6.0,1000,5.034776387894746
2020-07-08T07:28:08.931000Z,12.0,500,4.302305524782096
2020-07-08T07:28:08.931000Z,18.0,1000,4.335032928053752
